"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,663.890380859375,230.801971435547,635.913330078125,238.612289428711,606.061401367188,249.345687866211,861.237915039062,248.674621582031,NA
2,665.581237792969,229.633758544922,637.550903320312,237.449020385742,607.908874511719,249.16340637207,861.192321777344,247.948776245117,NA
3,666.043884277344,231.168380737305,637.993041992188,236.144165039062,609.118774414062,248.314498901367,861.67822265625,249.116546630859,NA
4,669.986999511719,231.120864868164,640.423461914062,234.924682617188,610.746337890625,246.242156982422,860.486877441406,248.433563232422,NA
5,673.863952636719,230.373123168945,645.842956542969,234.340759277344,612.853698730469,242.702667236328,861.271850585938,246.620758056641,NA
6,673.849670410156,230.370376586914,645.756713867188,234.353408813477,612.763916015625,242.76692199707,861.256713867188,246.63053894043,NA
7,676.208435058594,230.613586425781,647.798278808594,234.260375976562,612.776245117188,242.521697998047,862.087585449219,245.91015625,NA
8,678.8349609375,229.431594848633,650.30126953125,233.554946899414,615.098083496094,241.423370361328,862.103088378906,245.473114013672,NA
9,682.506469726562,227.496887207031,654.520568847656,233.136474609375,620.212341308594,240.969970703125,862.105285644531,244.177124023438,NA
10,684.688232421875,226.968811035156,656.076843261719,232.73860168457,621.034729003906,241.338668823242,861.685302734375,243.69792175293,NA
11,687.872802734375,226.4072265625,659.099609375,233.145797729492,625.267578125,241.38557434082,861.5537109375,243.534072875977,NA
12,689.73486328125,226.548355102539,663.874267578125,233.392303466797,631.729736328125,237.536331176758,861.078857421875,242.181457519531,NA
13,694.049621582031,227.696212768555,665.370727539062,231.229049682617,636.574829101562,237.743377685547,861.386474609375,242.306427001953,NA
14,697.888854980469,236.400543212891,670.04150390625,226.449188232422,642.456970214844,233.975646972656,861.8876953125,242.424285888672,NA
15,700.422424316406,240.406585693359,677.499389648438,229.050689697266,647.984191894531,227.146469116211,862.644409179688,242.777877807617,NA
16,707.092468261719,246.500442504883,683.654235839844,232.296493530273,654.401916503906,221.453506469727,862.625061035156,243.857162475586,NA
17,709.650146484375,249.226974487305,686.82080078125,235.854354858398,659.721496582031,221.620223999023,862.180419921875,244.094940185547,NA
18,709.652526855469,249.242736816406,686.828308105469,235.859802246094,659.738952636719,221.627944946289,862.181884765625,244.088806152344,NA
19,713.086181640625,251.705215454102,689.344360351562,240.368087768555,664.838256835938,223.566070556641,861.570129394531,245.688415527344,NA
20,716.338562011719,253.952392578125,693.294616699219,245.432586669922,671.681945800781,225.907867431641,861.252319335938,248.038040161133,NA
21,717.590148925781,248.380447387695,690.590209960938,248.656326293945,674.0185546875,228.009658813477,859.277160644531,246.88932800293,NA
22,717.991821289062,238.107849121094,699.401550292969,249.580703735352,674.953552246094,242.742553710938,862.216186523438,251.968215942383,NA
23,719.235168457031,234.225021362305,700.38623046875,249.337677001953,673.107727050781,250.204925537109,866.089050292969,252.591171264648,NA
24,721.520324707031,229.568771362305,701.582580566406,246.274948120117,673.6318359375,257.760406494141,868.417541503906,252.141937255859,NA
25,722.637756347656,227.510528564453,701.964050292969,244.903396606445,675.326904296875,260.689544677734,869.351135253906,251.486480712891,NA
26,723.667785644531,225.244964599609,703.397155761719,243.019180297852,675.893737792969,261.241760253906,869.926940917969,250.823867797852,NA
27,723.280639648438,224.076324462891,704.428405761719,240.415954589844,677.187194824219,260.683715820312,870.840881347656,249.674209594727,NA
28,724.765258789062,225.598434448242,702.449157714844,237.25276184082,680.615844726562,256.729431152344,872.374877929688,249.363265991211,NA
29,723.693298339844,231.457061767578,698.468200683594,233.771606445312,681.67919921875,252.308456420898,874.684020996094,247.925094604492,NA
30,723.546325683594,231.837127685547,698.23291015625,233.758285522461,681.749450683594,252.959182739258,874.716857910156,247.860778808594,NA
31,725.245788574219,238.024810791016,702.644470214844,230.999313354492,681.337280273438,240.986114501953,875.140991210938,245.071411132812,NA
32,724.09130859375,241.920166015625,702.201721191406,231.740783691406,678.1201171875,234.992752075195,871.022521972656,244.357406616211,NA
33,724.618713378906,245.683898925781,702.125915527344,234.449035644531,678.650756835938,226.605804443359,868.330139160156,244.934234619141,NA
34,724.413146972656,245.600479125977,701.846618652344,234.393737792969,678.7109375,226.478439331055,868.309020996094,244.89094543457,NA
35,723.788391113281,247.997772216797,700.318542480469,235.738983154297,674.234375,225.826034545898,866.475341796875,245.084747314453,NA
36,718.659912109375,251.489318847656,700.327026367188,233.581161499023,672.801391601562,226.465377807617,865.868835449219,245.144546508789,NA
37,713.954284667969,253.700637817383,699.351257324219,233.481491088867,674.361877441406,224.83332824707,867.758483886719,246.416366577148,NA
38,713.657653808594,255.852172851562,698.343444824219,237.124374389648,676.552917480469,219.474014282227,868.84716796875,245.447189331055,NA
39,713.011169433594,256.282073974609,697.629272460938,236.817184448242,672.6591796875,217.438934326172,870.567443847656,244.946304321289,NA
40,712.3779296875,256.499938964844,696.651733398438,236.772430419922,672.229370117188,216.197891235352,871.395080566406,244.522491455078,NA
41,711.762756347656,256.139892578125,695.418701171875,236.301956176758,671.279174804688,215.696334838867,872.21484375,244.438995361328,NA
42,711.761901855469,256.140045166016,695.418579101562,236.302597045898,671.278991699219,215.696090698242,872.191589355469,244.441757202148,NA
43,709.255065917969,256.319488525391,694.867065429688,235.428131103516,669.202575683594,214.831481933594,872.824768066406,244.845352172852,NA
44,695.92919921875,251.227264404297,694.040161132812,227.785385131836,667.866394042969,216.88069152832,874.628540039062,245.05061340332,NA
45,669.580993652344,247.126449584961,693.298950195312,230.671768188477,694.733764648438,208.915008544922,873.563781738281,239.784469604492,NA
46,663.031127929688,245.911727905273,685.682983398438,232.838104248047,702.425170898438,210.522598266602,873.600952148438,239.447494506836,NA
