"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,722.934448242188,216.144668579102,711.909362792969,231.299377441406,697.072814941406,245.834976196289,911.517395019531,249.397277832031,NA
2,722.810791015625,215.605255126953,710.922790527344,231.034362792969,696.799438476562,245.956726074219,912.058288574219,248.855422973633,NA
3,720.524169921875,217.101516723633,706.940002441406,228.991622924805,699.250793457031,242.437911987305,912.560180664062,248.496276855469,NA
4,720.404968261719,218.013809204102,704.434509277344,224.24462890625,694.635803222656,234.582046508789,914.158325195312,245.937957763672,NA
5,720.283996582031,217.973342895508,704.481628417969,224.196975708008,694.754760742188,234.255096435547,914.157104492188,245.937881469727,NA
6,720.391174316406,214.560958862305,707.448486328125,222.039276123047,691.779296875,228.161285400391,914.660705566406,241.367721557617,NA
7,719.74951171875,211.738418579102,705.180969238281,219.241226196289,693.699768066406,227.593078613281,914.729919433594,238.228698730469,NA
8,721.4345703125,216.39631652832,708.343994140625,211.418609619141,696.557739257812,213.891723632812,911.276550292969,232.479141235352,NA
9,720.383544921875,218.051284790039,702.693176269531,215.874130249023,691.484619140625,210.482925415039,900.227294921875,236.118988037109,NA
10,717.51123046875,218.011367797852,700.81689453125,216.990524291992,686.658386230469,209.360137939453,899.486267089844,236.601837158203,NA
11,716.995849609375,218.985427856445,700.761779785156,214.282470703125,682.76318359375,209.230163574219,895.698669433594,236.375366210938,NA
12,715.244018554688,224.749053955078,701.390502929688,216.843887329102,688.693969726562,206.986282348633,895.371765136719,238.968856811523,NA
13,717.869445800781,229.133483886719,701.374694824219,221.60758972168,686.374084472656,209.827239990234,893.13916015625,240.562301635742,NA
14,717.630004882812,231.323013305664,701.611389160156,224.797500610352,686.274780273438,217.302917480469,890.229370117188,243.197555541992,NA
15,718.218078613281,234.621520996094,701.861877441406,226.22216796875,684.9228515625,216.302825927734,888.399230957031,244.260330200195,NA
16,716.057800292969,236.721817016602,699.848754882812,229.613403320312,687.630920410156,216.770965576172,887.633056640625,245.784149169922,NA
17,716.040649414062,236.713592529297,699.821655273438,229.621841430664,687.621948242188,216.776565551758,887.638305664062,245.790130615234,NA
18,718.101623535156,237.972854614258,698.939025878906,232.875213623047,686.398620605469,218.626571655273,887.355407714844,247.554641723633,NA
19,720.955322265625,243.979446411133,701.935241699219,234.390716552734,682.816345214844,223.688522338867,887.614196777344,251.938217163086,NA
20,719.885681152344,247.934478759766,704.491760253906,237.338348388672,693.26416015625,224.291305541992,887.628356933594,252.603302001953,NA
21,721.510192871094,237.550903320312,712.061645507812,248.451141357422,698.290222167969,253.170883178711,898.497009277344,261.329650878906,NA
22,721.951171875,232.304016113281,712.294982910156,244.902572631836,697.931335449219,256.083526611328,900.053527832031,261.352172851562,NA
23,723.680541992188,228.511672973633,711.936828613281,239.986633300781,698.112854003906,251.7373046875,904.8125,258.090484619141,NA
24,723.391845703125,226.954772949219,712.674194335938,238.376937866211,695.814086914062,248.712127685547,907.200561523438,256.142486572266,NA
25,723.134887695312,225.494842529297,711.963989257812,237.711456298828,695.337097167969,247.724243164062,909.730102539062,254.198974609375,NA
