"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,557.21875,348.649658203125,567.344421386719,336.977081298828,575.57080078125,322.024353027344,436.765960693359,334.192138671875,NA
2,557.306762695312,349.874633789062,566.613098144531,338.201568603516,575.659606933594,322.520629882812,436.410034179688,334.159851074219,NA
3,559.154968261719,354.8388671875,564.746520996094,341.981750488281,573.1591796875,326.996490478516,436.133117675781,336.2529296875,NA
4,557.94189453125,359.818481445312,564.299072265625,346.473327636719,567.53369140625,329.748077392578,435.689086914062,338.159271240234,NA
5,556.932312011719,361.908813476562,565.160339355469,348.495300292969,568.097900390625,331.230834960938,435.481750488281,340.171722412109,NA
6,556.263793945312,364.360778808594,563.62109375,351.040893554688,568.226745605469,336.234405517578,435.437652587891,342.633636474609,NA
7,556.033630371094,367.904571533203,562.379089355469,354.069641113281,568.640808105469,339.30615234375,434.972045898438,345.653686523438,NA
8,555.5361328125,369.262573242188,562.311462402344,355.465087890625,568.904846191406,339.540771484375,434.051513671875,347.078460693359,NA
9,556.704772949219,370.503570556641,562.806884765625,356.292327880859,568.318176269531,339.656494140625,433.575317382812,348.742309570312,NA
10,556.714294433594,370.453002929688,563.008422851562,356.596832275391,568.098510742188,340.253021240234,433.37109375,349.80078125,NA
11,556.450012207031,370.51708984375,563.09716796875,357.710876464844,568.610717773438,341.876129150391,433.007476806641,350.422790527344,NA
12,555.333984375,371.890686035156,563.154846191406,359.979431152344,569.867614746094,344.564819335938,433.106567382812,350.841949462891,NA
13,556.931945800781,372.656982421875,563.678527832031,360.324615478516,571.088195800781,344.73095703125,432.915435791016,351.949768066406,NA
14,557.621826171875,375.556274414062,562.439331054688,362.740386962891,571.008728027344,346.979949951172,432.752471923828,353.406524658203,NA
15,556.547668457031,381.573638916016,562.508422851562,367.083435058594,566.597412109375,350.740661621094,432.154693603516,354.985168457031,NA
16,555.359680175781,381.293701171875,562.276672363281,366.395172119141,565.759643554688,350.236450195312,432.196044921875,356.317321777344,NA
17,555.3564453125,382.887237548828,563.809020996094,370.138366699219,568.695190429688,355.035003662109,432.115509033203,359.008941650391,NA
18,556.554260253906,384.147888183594,566.532592773438,372.777618408203,569.944213867188,356.621856689453,432.216918945312,361.998229980469,NA
19,557.038269042969,385.781219482422,567.336730957031,375.880798339844,574.197998046875,359.497833251953,432.661499023438,364.33642578125,NA
20,556.851318359375,389.210083007812,567.292541503906,378.014587402344,575.813232421875,360.839630126953,433.514862060547,366.729644775391,NA
21,556.943908691406,391.088836669922,567.640014648438,380.306182861328,575.268676757812,362.916046142578,434.634887695312,367.531677246094,NA
22,556.856567382812,392.321868896484,568.311096191406,381.749725341797,575.086547851562,363.188110351562,435.066314697266,368.6103515625,NA
23,558.681579589844,392.805786132812,569.391235351562,383.771850585938,575.034545898438,366.267150878906,435.361175537109,370.460540771484,NA
24,558.296081542969,393.9404296875,571.389404296875,387.929412841797,579.316345214844,371.966369628906,435.587585449219,372.736145019531,NA
25,557.092163085938,395.056579589844,571.543029785156,389.165863037109,583.208923339844,375.566650390625,436.362701416016,374.509185791016,NA
26,556.950256347656,397.211273193359,571.418579101562,390.269500732422,584.17138671875,376.360229492188,437.203125,376.017578125,NA
27,557.531494140625,398.338897705078,572.036865234375,390.824523925781,586.38818359375,377.492370605469,437.890319824219,376.277038574219,NA
28,557.596069335938,399.465270996094,572.659729003906,392.186645507812,586.977233886719,379.4013671875,438.544250488281,377.479064941406,NA
29,558.6904296875,400.697113037109,573.482482910156,392.532897949219,588.579895019531,379.353942871094,438.943481445312,379.138488769531,NA
30,558.981079101562,403.862152099609,573.599304199219,394.759124755859,585.218322753906,383.366088867188,439.286560058594,379.530731201172,NA
31,558.80810546875,404.687622070312,574.484985351562,396.2275390625,584.841674804688,382.840454101562,440.061828613281,380.908813476562,NA
32,559.155639648438,405.340179443359,575.122985839844,397.907348632812,584.841857910156,384.099365234375,440.594055175781,382.305267333984,NA
33,558.694702148438,406.057861328125,574.950927734375,398.279418945312,587.012390136719,384.880249023438,440.857971191406,383.447418212891,NA
34,558.471008300781,406.574890136719,575.046020507812,398.82470703125,588.013000488281,385.450988769531,441.300720214844,384.352416992188,NA
35,557.898254394531,407.144256591797,572.125305175781,400.150665283203,586.686889648438,390.490966796875,442.136322021484,385.156890869141,NA
36,557.712158203125,407.478485107422,572.038391113281,400.551513671875,588.3203125,390.928161621094,442.625244140625,385.5341796875,NA
37,558.138488769531,409.145568847656,569.5654296875,401.848785400391,585.005493164062,393.687225341797,443.304504394531,386.627197265625,NA
38,557.092468261719,410.967803955078,568.8193359375,403.615356445312,580.074890136719,392.961151123047,444.160217285156,387.69091796875,NA
39,556.901062011719,413.838256835938,571.255004882812,406.380340576172,582.747314453125,392.872497558594,443.781311035156,388.347625732422,NA
40,556.492553710938,414.540557861328,572.564819335938,408.043426513672,585.944396972656,395.718811035156,443.729797363281,389.832305908203,NA
