"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,559.905151367188,168.296127319336,571.982543945312,160.237350463867,584.326843261719,151.797271728516,431.660125732422,182.651382446289,NA
2,559.872375488281,168.265716552734,572.026062011719,160.190734863281,584.438781738281,151.80451965332,431.654968261719,182.67626953125,NA
3,557.461364746094,170.946975708008,572.793518066406,166.589492797852,585.263244628906,156.324737548828,432.002868652344,186.252532958984,NA
4,557.828063964844,175.137649536133,572.407043457031,168.074157714844,587.163024902344,160.846633911133,428.993133544922,189.872741699219,NA
5,558.479736328125,180.245239257812,573.515380859375,171.218872070312,583.157592773438,160.884643554688,428.567565917969,190.771209716797,NA
6,558.415588378906,182.718475341797,571.168395996094,174.903518676758,580.554504394531,166.1015625,426.571655273438,193.133071899414,NA
7,557.343017578125,183.107406616211,570.902709960938,176.253128051758,583.074584960938,168.732727050781,424.829833984375,194.237365722656,NA
8,558.162902832031,184.525619506836,570.764953613281,177.274932861328,585.282409667969,169.44938659668,423.739593505859,195.322143554688,NA
9,558.446166992188,185.953186035156,570.939514160156,177.471588134766,585.589477539062,168.417175292969,421.619140625,195.929092407227,NA
10,559.545837402344,186.254013061523,571.955200195312,177.557098388672,584.688354492188,167.937515258789,421.662414550781,194.847320556641,NA
11,559.685424804688,186.905700683594,572.0595703125,177.838073730469,583.197814941406,167.473724365234,420.499481201172,195.383499145508,NA
12,559.171142578125,186.70881652832,572.150268554688,177.698486328125,584.375244140625,166.65559387207,419.760589599609,196.238525390625,NA
13,558.801391601562,185.054504394531,572.405090332031,176.884750366211,586.004821777344,166.833419799805,419.247924804688,196.784896850586,NA
14,558.841064453125,185.131103515625,572.441955566406,176.904022216797,585.98193359375,166.767562866211,419.249053955078,196.819244384766,NA
15,558.232116699219,186.308807373047,572.670776367188,176.770553588867,587.730346679688,166.090744018555,419.459869384766,196.357055664062,NA
16,558.121276855469,184.132293701172,574.816711425781,177.244110107422,586.6806640625,163.671905517578,420.510040283203,196.409973144531,NA
17,560.58154296875,179.362411499023,576.533569335938,181.765380859375,587.173828125,173.373199462891,421.671936035156,195.880950927734,NA
18,558.654907226562,170.273864746094,576.611328125,180.83381652832,593.372619628906,177.585327148438,424.708709716797,195.584579467773,NA
19,558.861450195312,168.505554199219,575.869201660156,178.459930419922,589.94873046875,184.111602783203,426.981475830078,194.603134155273,NA
20,558.02392578125,166.425796508789,574.95166015625,175.519577026367,584.012268066406,185.428009033203,429.800079345703,193.462249755859,NA
21,558.087585449219,167.001998901367,576.529174804688,173.150756835938,584.0625,183.635620117188,432.873931884766,191.459609985352,NA
22,558.129089355469,169.14013671875,576.651794433594,173.040023803711,587.840698242188,181.280319213867,435.913360595703,191.47834777832,NA
23,557.619201660156,169.549285888672,577.956787109375,172.735702514648,591.642272949219,177.580383300781,438.123504638672,191.50114440918,NA
24,557.738830566406,169.741577148438,577.955749511719,174.727890014648,592.841247558594,177.665878295898,439.872375488281,192.048782348633,NA
25,558.893432617188,169.893005371094,577.44775390625,174.879699707031,591.264221191406,180.285537719727,441.359069824219,192.383392333984,NA
26,558.88818359375,169.898895263672,577.352905273438,174.870803833008,591.189331054688,180.190963745117,441.357971191406,192.393524169922,NA
27,556.527099609375,162.117477416992,569.971130371094,171.130996704102,583.707946777344,180.050140380859,448.473602294922,191.620803833008,NA
28,558.062744140625,156.899261474609,571.749694824219,167.711608886719,580.927734375,179.242721557617,449.903137207031,189.112823486328,NA
29,558.678039550781,146.159301757812,567.93359375,159.912796020508,578.032653808594,175.302017211914,450.392852783203,180.830749511719,NA
30,558.904846191406,136.572067260742,567.89404296875,150.84700012207,577.082092285156,171.250701904297,448.710479736328,173.764221191406,NA
31,557.566955566406,134.604034423828,570.659423828125,146.267227172852,577.860778808594,166.234222412109,447.274566650391,168.977691650391,NA
32,560.411560058594,131.978912353516,572.165283203125,143.5771484375,578.705505371094,162.510208129883,445.242828369141,166.223587036133,NA
33,560.632934570312,131.441757202148,572.646850585938,143.07536315918,578.671508789062,162.122299194336,443.2314453125,165.25993347168,NA
34,556.76318359375,132.48371887207,572.050354003906,139.622039794922,575.1494140625,157.633712768555,443.236663818359,165.419311523438,NA
35,560.190979003906,137.161758422852,576.746643066406,140.133224487305,579.87109375,150.929946899414,442.199066162109,164.573379516602,NA
36,557.222961425781,145.808242797852,571.387268066406,137.559509277344,585.298583984375,141.228134155273,438.869934082031,163.314895629883,NA
37,557.94677734375,151.042587280273,574.423095703125,139.544174194336,590.046508789062,136.330444335938,436.052093505859,164.343811035156,NA
38,558.044250488281,150.878372192383,574.501831054688,139.504287719727,589.918334960938,136.36442565918,436.053802490234,164.333801269531,NA
39,559.568603515625,150.35400390625,572.616149902344,141.556884765625,585.930419921875,137.087951660156,435.32763671875,165.3857421875,NA
40,560.234924316406,153.927291870117,574.188232421875,146.643692016602,589.250061035156,138.179779052734,436.033477783203,168.618606567383,NA
41,559.974304199219,153.568908691406,576.686462402344,149.139846801758,590.349731445312,139.503280639648,437.099792480469,169.137557983398,NA
42,557.985656738281,143.177200317383,574.583862304688,152.764633178711,590.701843261719,149.73649597168,434.976104736328,171.414108276367,NA
43,556.676086425781,140.593154907227,572.1396484375,151.492156982422,591.546142578125,157.906265258789,433.924255371094,172.263717651367,NA
44,557.116149902344,139.410614013672,570.907531738281,151.630142211914,590.253051757812,158.193267822266,431.984832763672,171.475494384766,NA
45,558.217163085938,139.673355102539,570.76513671875,151.751831054688,588.58349609375,162.098785400391,431.068695068359,171.388046264648,NA
46,558.300231933594,138.184616088867,571.316711425781,148.552642822266,583.468627929688,160.126235961914,430.028442382812,169.796722412109,NA
47,559.027404785156,140.135955810547,576.450134277344,146.108306884766,584.17138671875,157.181625366211,430.817169189453,169.74299621582,NA
