"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,600.343872070312,164.656005859375,580.578552246094,185.096557617188,559.264892578125,211.021392822266,399.336517333984,212.937118530273,NA
2,601.479309082031,162.014236450195,584.229553222656,182.949981689453,561.066589355469,208.230972290039,399.755859375,211.256378173828,NA
3,604.256591796875,160.48893737793,586.543518066406,181.6064453125,562.238403320312,208.07487487793,400.427124023438,208.986175537109,NA
4,606.485534667969,159.644592285156,587.841125488281,180.761627197266,563.893493652344,207.490509033203,401.14208984375,206.804382324219,NA
5,611.596496582031,160.617385864258,589.571411132812,177.681655883789,569.750366210938,203.821960449219,401.412139892578,207.752212524414,NA
6,617.201416015625,167.090240478516,589.852111816406,173.766326904297,571.940185546875,199.218597412109,401.745208740234,208.260925292969,NA
7,623.33056640625,170.029098510742,594.754516601562,170.210922241211,571.341247558594,190.813446044922,402.657012939453,204.020599365234,NA
8,630.232177734375,174.739837646484,600.124755859375,168.710922241211,571.6572265625,181.325836181641,403.803070068359,200.041351318359,NA
9,633.113098144531,175.730239868164,605.259338378906,169.039276123047,572.798278808594,175.147750854492,404.251770019531,199.237564086914,NA
10,638.621704101562,177.436920166016,611.321960449219,169.248641967773,578.21484375,170.043975830078,405.116912841797,199.59196472168,NA
11,644.076538085938,178.509384155273,616.974487304688,170.017166137695,583.250915527344,167.817337036133,405.387725830078,200.911926269531,NA
12,649.212463378906,179.64567565918,620.645568847656,170.730834960938,586.2978515625,167.94319152832,405.151611328125,201.419921875,NA
13,651.955627441406,179.879608154297,623.061767578125,171.840667724609,588.086303710938,167.395919799805,405.178955078125,201.606460571289,NA
14,654.822692871094,179.947006225586,627.60986328125,172.746276855469,594.677124023438,168.458862304688,405.583435058594,201.859298706055,NA
15,658.461730957031,181.160003662109,632.633117675781,173.10905456543,600.412841796875,168.1650390625,406.025939941406,203.592544555664,NA
16,662.299682617188,182.204055786133,634.944274902344,173.25456237793,601.409790039062,168.057846069336,406.459747314453,203.681625366211,NA
17,663.863891601562,183.092025756836,637.766540527344,174.044952392578,606.749755859375,168.126876831055,406.428894042969,204.187637329102,NA
18,663.192810058594,185.596115112305,638.703308105469,172.091033935547,607.265319824219,168.8955078125,406.880340576172,206.363204956055,NA
19,660.997985839844,193.474487304688,645.456481933594,173.158081054688,614.392456054688,166.804122924805,406.85009765625,208.478958129883,NA
20,663.468811035156,197.294250488281,647.801574707031,176.202331542969,620.914672851562,161.631454467773,406.371826171875,208.422943115234,NA
21,668.319885253906,200.255386352539,651.356018066406,180.138076782227,627.704162597656,161.682891845703,406.369934082031,209.52864074707,NA
22,672.086486816406,202.699310302734,655.74072265625,184.061614990234,633.138977050781,164.504119873047,406.373992919922,211.840911865234,NA
23,675.185302734375,206.839492797852,659.568542480469,187.634002685547,637.590209960938,167.973617553711,406.000152587891,213.752975463867,NA
24,678.158203125,209.930358886719,662.219604492188,190.148406982422,639.885192871094,167.973373413086,405.674591064453,216.251510620117,NA
25,680.925109863281,212.713592529297,663.928283691406,192.839889526367,644.073059082031,172.020278930664,405.050811767578,219.148315429688,NA
26,682.451232910156,215.732940673828,665.593505859375,194.420150756836,645.64013671875,173.414093017578,404.846069335938,221.071823120117,NA
27,683.452819824219,217.300247192383,667.621520996094,196.387817382812,647.204467773438,175.479446411133,404.6279296875,223.068878173828,NA
28,684.081420898438,219.790008544922,670.722229003906,198.562133789062,649.388427734375,178.619842529297,404.740295410156,226.045135498047,NA
29,682.333557128906,224.059448242188,673.6005859375,199.576522827148,650.727966308594,179.893188476562,404.105743408203,227.833053588867,NA
30,686.370361328125,227.182037353516,675.635559082031,206.338531494141,661.678833007812,182.153579711914,403.233001708984,228.670501708984,NA
31,691.254760742188,230.389373779297,676.585510253906,210.639846801758,662.898742675781,185.031463623047,402.267425537109,233.141693115234,NA
32,694.555480957031,234.966354370117,679.938903808594,214.952621459961,663.278137207031,190.858734130859,401.315032958984,238.371963500977,NA
33,696.856811523438,239.948165893555,682.666931152344,220.198425292969,665.390014648438,195.416351318359,400.508880615234,241.245513916016,NA
34,698.176147460938,242.698471069336,684.802307128906,222.353912353516,668.105895996094,198.124694824219,399.796081542969,243.845489501953,NA
35,700.440734863281,244.770889282227,686.16845703125,224.204467773438,669.184875488281,199.535064697266,399.049896240234,245.860946655273,NA
36,701.629150390625,247.203750610352,687.742858886719,227.396606445312,671.448303222656,202.57160949707,398.753143310547,247.791259765625,NA
37,701.052734375,250.824996948242,689.891296386719,229.534805297852,672.762268066406,206.475051879883,397.594512939453,250.695297241211,NA
38,694.493225097656,253.359481811523,693.457641601562,228.720779418945,671.485534667969,210.293106079102,396.863464355469,253.988555908203,NA
39,687.939086914062,257.619781494141,696.780029296875,232.179183959961,679.007751464844,209.675704956055,396.449401855469,255.670486450195,NA
40,685.686767578125,261.648651123047,697.852355957031,236.850769042969,689.395324707031,211.457504272461,396.011413574219,257.297912597656,NA
41,684.18408203125,266.210510253906,696.709594726562,242.442337036133,696.121398925781,213.961837768555,395.216613769531,259.796539306641,NA
42,682.510681152344,270.575988769531,695.195861816406,246.206680297852,699.706237792969,214.058654785156,394.207763671875,262.833923339844,NA
43,681.4248046875,274.335693359375,692.739074707031,250.352508544922,701.963684082031,218.518402099609,392.556427001953,266.868469238281,NA
44,679.95556640625,277.982116699219,691.82177734375,253.299743652344,702.977600097656,221.927780151367,391.476501464844,270.132293701172,NA
45,679.542907714844,281.426574707031,690.834228515625,257.426910400391,701.974426269531,226.027404785156,390.607116699219,273.959075927734,NA
46,678.45849609375,284.770080566406,690.144897460938,259.274841308594,702.333068847656,226.647109985352,390.200866699219,275.484558105469,NA
47,677.963562011719,286.533508300781,688.895935058594,262.357299804688,702.375366210938,231.1640625,389.764129638672,276.832092285156,NA
48,676.781555175781,288.095642089844,688.023864746094,263.711181640625,701.815551757812,232.589767456055,389.1982421875,278.509460449219,NA
49,675.422790527344,290.738677978516,687.100219726562,265.893035888672,701.399841308594,234.910415649414,388.825622558594,280.224212646484,NA
