"bodyparts_coords","Head_x","Head_y","Trunk_x","Trunk_y","Tail_x","Tail_y","Z_x","Z_y","behavior.label"
1,547.005065917969,177.257202148438,568.9248046875,174.426406860352,591.812561035156,168.560607910156,439.691833496094,197.357559204102,"IM"
2,547.222229003906,177.008239746094,569.069885253906,174.706329345703,591.546997070312,168.346038818359,439.552551269531,197.209823608398,"IM"
3,547.230590820312,176.971343994141,569.064208984375,174.698913574219,591.5908203125,168.358505249023,439.534545898438,197.194961547852,"IM"
4,546.955322265625,177.241943359375,569.376281738281,174.007431030273,591.490234375,168.444305419922,439.524475097656,197.158325195312,"IM"
5,546.978149414062,177.188629150391,569.328369140625,174.045776367188,591.763366699219,168.337219238281,439.640838623047,197.105987548828,"IM"
6,546.976623535156,177.190856933594,569.247924804688,173.956298828125,591.523620605469,168.437057495117,439.641418457031,197.108322143555,"IM"
7,547.2216796875,177.22151184082,569.349487304688,173.940277099609,591.619323730469,168.142669677734,439.993499755859,196.995635986328,"IM"
8,547.063232421875,177.24462890625,568.940673828125,173.735809326172,591.214721679688,167.499084472656,439.855712890625,196.749099731445,"IM"
9,547.045104980469,177.059234619141,569.13134765625,173.514373779297,591.375366210938,167.160919189453,439.819946289062,196.602828979492,"IM"
10,547.003234863281,177.004821777344,569.031982421875,173.519729614258,591.204772949219,167.222076416016,439.810455322266,196.607055664062,"IM"
11,547.115661621094,177.113510131836,568.918029785156,173.511627197266,590.352600097656,167.586517333984,440.050476074219,196.595413208008,"IM"
12,547.113159179688,177.131820678711,569.077392578125,173.72135925293,590.495300292969,167.461654663086,440.120941162109,196.559753417969,"IM"
13,547.146240234375,177.201034545898,568.803466796875,173.553359985352,590.166748046875,167.263931274414,440.013580322266,196.585403442383,"IM"
14,547.07275390625,177.217559814453,568.83203125,173.469589233398,590.112670898438,166.905380249023,440.177093505859,196.453155517578,"IM"
15,547.210205078125,177.225982666016,568.765502929688,173.408004760742,588.445251464844,167.077972412109,440.491973876953,196.159240722656,"IM"
16,546.969421386719,177.309692382812,568.361083984375,172.655487060547,587.04541015625,166.852844238281,440.455444335938,196.38117980957,"IM"
17,547.162414550781,177.330047607422,568.311462402344,172.451858520508,586.850158691406,166.955627441406,440.378967285156,195.486862182617,"IM"
18,547.246398925781,177.281280517578,568.663208007812,172.406982421875,588.018493652344,166.478637695312,440.499145507812,195.963333129883,"IM"
19,547.204895019531,177.310028076172,568.510314941406,172.356857299805,587.823425292969,166.592666625977,440.443939208984,195.93229675293,"IM"
20,547.308654785156,177.187606811523,568.239318847656,172.101318359375,587.475402832031,166.683517456055,440.617218017578,195.829559326172,"IM"
21,547.414489746094,177.009124755859,568.19873046875,171.703826904297,587.247863769531,166.312515258789,440.565734863281,195.665664672852,"IM"
22,547.38232421875,176.772872924805,567.921264648438,171.54704284668,586.837768554688,166.296173095703,440.489166259766,195.466278076172,"IM"
23,547.327941894531,176.795745849609,567.826293945312,171.403823852539,586.561767578125,166.224563598633,440.583435058594,195.399307250977,"IM"
24,547.40283203125,176.677490234375,567.839782714844,171.349624633789,586.417785644531,165.93522644043,440.522369384766,195.196884155273,"IM"
25,547.325012207031,176.557830810547,567.799499511719,171.117477416992,586.923217773438,165.77001953125,440.587188720703,195.216537475586,"IM"
26,547.579040527344,176.587371826172,567.664794921875,170.512145996094,587.147705078125,165.265975952148,440.669860839844,194.980621337891,"IM"
27,547.574035644531,176.59423828125,567.65869140625,170.509399414062,587.08837890625,165.207305908203,440.7451171875,194.970916748047,"IM"
28,547.568481445312,176.262603759766,567.576721191406,170.494842529297,586.898620605469,164.851623535156,440.712036132812,195.02653503418,"IM"
29,547.82421875,176.302841186523,567.320922851562,170.230453491211,586.560485839844,164.753982543945,440.808349609375,194.855346679688,"IM"
30,549.05517578125,175.893112182617,568.809204101562,169.438919067383,589.104309082031,162.316177368164,441.702117919922,194.181488037109,"IM"
31,549.020202636719,175.851455688477,568.047241210938,168.608840942383,588.734741210938,162.410079956055,441.636810302734,194.152038574219,"IM"
32,549.180053710938,175.834945678711,567.7705078125,168.347259521484,588.857788085938,162.32780456543,441.609039306641,194.29313659668,"IM"
33,548.98828125,175.764236450195,567.55908203125,168.313125610352,588.173767089844,162.300231933594,441.621826171875,194.234420776367,"IM"
34,549.068237304688,175.630416870117,567.724792480469,168.210403442383,587.851989746094,162.067947387695,441.657165527344,194.144912719727,"IM"
35,548.958862304688,175.710952758789,567.678527832031,168.092330932617,587.713012695312,161.836578369141,441.637084960938,194.005065917969,"IM"
36,548.858520507812,175.692932128906,567.472961425781,168.128768920898,587.499816894531,161.818283081055,441.668975830078,193.999542236328,"IM"
37,548.597045898438,175.741561889648,567.199523925781,168.112121582031,587.228942871094,162.046157836914,441.752746582031,193.907424926758,"IM"
38,548.713684082031,175.847946166992,566.9326171875,168.000122070312,587.161437988281,162.02229309082,441.872283935547,193.947036743164,"IM"
39,548.764343261719,175.820602416992,566.907104492188,167.981857299805,587.09619140625,162.047164916992,441.872467041016,193.959167480469,"IM"
40,548.683410644531,175.846755981445,566.85302734375,168.064422607422,587.06298828125,162.076736450195,441.840728759766,193.867889404297,"IM"
41,548.718139648438,175.773727416992,566.931274414062,168.051116943359,586.879943847656,161.950592041016,441.866149902344,193.995895385742,"IM"
42,548.88232421875,175.765655517578,566.992126464844,167.977890014648,587.122436523438,161.914932250977,441.878326416016,194.011093139648,"IM"
